	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Mfsd2b	1.7279655933380127	881.6267373441837	8.555800410496463e-191	1.657480023993976e-266	1.1265521668788853e-147	1.0	1.0115508226895079e-134
Gata1	1.726258397102356	850.5255983345405	4.764380521552839e-184	2.6896684221175963e-245	2.014386828320699e-139	1.0	6.145559147430034e-133
Vamp5	1.5691161155700684	780.4795569339741	7.407877641868159e-169	9.072414099915065e-169	5.907843083267014e-166	1.0	1.8018940197576846e-125
Klf1	1.726602554321289	746.4055087230296	1.8159810499743696e-161	1.2823939936848156e-199	2.9564624922837326e-108	1.0	1.3988618997188264e-100
Emb	-1.56130051612854	739.9031055544923	4.6686930315958864e-160	1.8076885112317776e-114	7.923853214006706e-169	1.0	1.826644668503339e-126
Lcp1	-1.7230216264724731	720.6680432219913	6.923598009121967e-156	8.59545538645078e-176	1.85184301887087e-120	1.0	2.279278309962978e-99
Limd2	-1.7167551517486572	710.9245633936005	8.977469926093279e-154	8.123901999866393e-189	1.2231902980206058e-80	1.0	4.74108074711139e-100
Aqp1	1.7236157655715942	700.6708490831307	1.5016679014610788e-151	5.433286023656809e-177	2.4917052264378805e-97	1.0	2.472183363300173e-97
Adgrl4	-1.5797958374023438	681.5319767685929	2.1209510266802819e-147	4.654932924548059e-185	3.8594869170369754e-36	1.0	4.6859805501423676e-92
Coro1a	-1.7127152681350708	670.3287578091688	5.697576140831528e-145	1.8165621813075603e-162	1.4192649746561553e-80	1.0	6.318134967669869e-103
Blvrb	1.7024108171463013	664.8452242853851	8.803309765348078e-144	8.743990354689701e-156	1.220864827456247e-97	1.0	2.816029712082208e-94
Lgals9	1.6111927032470703	660.888856839255	6.345532748242031e-143	1.1699526461510388e-178	5.162888820849565e-66	1.0	1.720001956295676e-73
Pkm	-1.7109578847885132	650.7722583308866	9.906494749965584e-141	5.062503932869755e-165	1.8454013193027894e-106	1.0	1.0680266304336516e-45
Gm15915	1.7295624017715454	644.7755679342569	1.9773372006264427e-139	2.675207818114963e-164	6.463397995534813e-82	1.0	2.161929056596129e-73
Car1	1.7208212614059448	635.3744838415726	2.1593384995382867e-137	6.919705336597275e-156	8.398127758596342e-78	1.0	6.462100284987657e-83
Tnfaip2	1.5390664339065552	632.8581762224682	7.583522900845001e-137	5.511897778861869e-157	8.821000701330705e-37	1.0	7.841898559744333e-98
Cd34	-1.6111873388290405	628.568171378092	6.455968088928952e-136	1.729107492386932e-115	4.880376234997102e-90	1.0	9.429380860009103e-117
Tmem176b	-1.6575318574905396	618.430384857666	1.018202680556388e-133	1.8665010558759163e-174	3.9204210980455194e-28	1.0	2.227657049398438e-45
Tmem173	-1.6378244161605835	608.8958763439513	1.1881287457459494e-131	1.4987119803691175e-118	3.0299265577080827e-96	1.0	7.175180329515455e-95
Mns1	1.5740413665771484	607.3797004686002	2.5325457720753494e-131	2.342559753363185e-157	2.6545035122010824e-32	1.0	1.8339435858341068e-76
Hmgb3	1.5465524196624756	590.7923293028213	9.987722094892413e-128	5.103279460950012e-143	3.613906087529836e-56	1.0	1.7113206731963452e-79
Samd14	1.725163221359253	586.2320094285061	9.728600235515056e-127	1.9670872031289038e-141	4.102985213473385e-69	1.0	3.040363731544473e-69
Tspo2	1.7261351346969604	583.6778137045038	3.481304137855972e-126	1.5056602673576e-140	9.056323083344668e-67	1.0	2.0746432961512257e-70
Epor	1.7195268869400024	579.7318526635012	2.495333209165176e-125	1.1469819717872355e-133	1.1278155071952601e-68	1.0	9.108297361719971e-77
Fkbp1a	-1.6965949535369873	575.4916549453187	2.0715108242125937e-124	4.551893533994667e-131	1.4114882765483301e-98	1.0	1.1842178227284473e-40
Ces2g	1.710631251335144	562.8608920138159	1.1329751820339234e-121	8.423957472805354e-120	2.1693543414393063e-77	1.0	6.416520476076402e-76
Abcb4	1.729469656944275	557.2726990915837	1.842986331038389e-120	8.97158564115226e-129	9.158526905394736e-72	1.0	5.149144130159693e-63
Gclm	1.5807297229766846	551.6950785529222	2.9820198706752333e-119	7.302848790828963e-123	5.898025606345694e-60	1.0	3.0900310755369566e-77
Lyz2	-1.6887249946594238	547.1003636309041	2.954137621243774e-118	2.5199668363135834e-142	1.4823234662566984e-60	1.0	3.626091762021548e-30
Spi1	-1.621795415878296	545.1244946339044	7.919585157476163e-118	7.998770686284685e-83	4.2186279942759685e-110	1.0	2.4724071860238554e-66
Slc14a1	1.6239643096923828	541.980080834134	3.8040973738073636e-117	5.958062702953245e-117	4.256618789175562e-96	1.0	1.2643100263696194e-35
Steap3	1.6556286811828613	539.5373423419325	1.2873844184754742e-116	1.2423733294103658e-133	1.1073947558061165e-38	1.0	1.4482878181873504e-62
Atp1b2	1.7240357398986816	537.5455039152395	3.478806685972727e-116	8.639738105511881e-123	2.27733493592489e-59	1.0	3.3361193411814615e-67
Sdsl	1.6305838823318481	523.9013643740785	3.152503834127848e-113	4.614782268105117e-96	3.816109177025464e-77	1.0	1.123928926762396e-76
Optn	1.7190338373184204	523.7889762944349	3.3343714135085444e-113	3.18293312050242e-116	8.050844173125241e-64	1.0	3.6050312555887827e-63
Ugcg	1.72789466381073	523.0246516749281	4.882801434965005e-113	7.613989382509368e-126	4.3234432727431935e-60	1.0	1.0395151042174122e-48
Kel	1.7299970388412476	517.346119088013	8.305873793523013e-112	2.069297317425339e-121	1.4413118199897656e-58	1.0	7.436791513486414e-54
Gfi1b	1.6757739782333374	517.1721519680815	9.059183498945949e-112	2.5722849612922145e-95	1.2808360390722237e-84	1.0	2.81742876748633e-65
Epdr1	1.721238374710083	501.87073870916987	1.8760851837085412e-108	6.864558826050348e-116	9.343842436975139e-49	1.0	6.799954427322056e-59
Tmsb4x	-1.6264803409576416	501.8615597347936	1.8846980741753768e-108	3.283704479731758e-48	4.634353544854766e-127	1.0	3.574263983610102e-28
Tmem176a	-1.7003170251846313	498.4537684710111	1.0321922986750318e-107	3.290433025758407e-129	3.7619926785124755e-33	1.0	1.3187149964304607e-37
Cd27	-1.5951176881790161	492.2401561519358	2.2925372246909866e-106	4.604765897661928e-106	1.147664122576743e-35	1.0	1.4757291432022592e-73
Sept8	1.6910960674285889	489.3498722743942	9.697503946093701e-106	2.672220696111294e-95	2.953297037825951e-70	1.0	3.2343499363130846e-61
Gstm1	-1.6116912364959717	488.93334737509275	1.1937765374723712e-105	2.70295144479173e-117	9.833259546682653e-66	1.0	1.0014792551718547e-18
Ramp1	-1.5107473134994507	483.80001058224354	1.5464306002633997e-104	7.07021035007993e-43	1.968411624523102e-95	1.0	2.1419809664221234e-70
